principalInvestigator,country,yearCollected,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,collectorList,locality,materialSampleID,genus,specificEpithet,sampleType,diseaseTested,diseaseDetected,fatal,monthCollected,dayCollected,minimumElevationInMeters,maximumElevationInMeters,quantityDetected,dilutionFactor,cycleTimeFirstDetection,continentOcean,stateProvince,municipality,county,locationRemarks,horizontalDatum,georeferenceProtocol,minimumDepthInMeters,maximumDepthInMeters,habitat,eventRemarks,taxTeam,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,lifeStage,establishmentMeans,sex,basisOfRecord,diseaseLineage,genotypeMethod,specimenDisposition,testMethod,diagnosticLab,zeScore,Diagnostics_bcid,Sample_bcid,expeditionCode,projectId,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2778,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2771227b781f2791bdb31351b942d593a,https://n2t.net/ark:/21547/CwG2MNHN1995.2778,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2779,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH23d12dd5b68b71746d3b886ddeff9cfb4,https://n2t.net/ark:/21547/CwG2MNHN1995.2779,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2781,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2cc3917bb408d851fef599345fb1d9aa4,https://n2t.net/ark:/21547/CwG2MNHN1995.2781,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2782,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2650eb8532fc3e6a4b493e60c39077601,https://n2t.net/ark:/21547/CwG2MNHN1995.2782,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2783,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH24e39c221fc6439b0b2c150da1d4180f6,https://n2t.net/ark:/21547/CwG2MNHN1995.2783,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2784,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2f2f002408e354e4d0ea07dd70917a1db,https://n2t.net/ark:/21547/CwG2MNHN1995.2784,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2785,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2f88f9e50362a12e48ef5d29023f53541,https://n2t.net/ark:/21547/CwG2MNHN1995.2785,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2786,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2082e83977e994195a0dfdf35656a2352,https://n2t.net/ark:/21547/CwG2MNHN1995.2786,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2787,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH27b33cb0ca9bd40061b45152e532ef41d,https://n2t.net/ark:/21547/CwG2MNHN1995.2787,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2788,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH22eff82588672bc00d238fd5f97cadb40,https://n2t.net/ark:/21547/CwG2MNHN1995.2788,pyrenees,174,
